output_id,path_pattern,producer,format,visibility,tracked,required_for_stata_success,expected_count,validation_rule,description,notes
run_provenance,"outputs/stata/<run_id>/{run_manifest.json,dependency_report.tsv,run_status.tsv,input_validation.tsv,run_metrics.tsv,SUCCESS,ANALYSIS_COMPLETE,Logs/*}",Runner/Stata,json/tsv/text/log/do,local_generated,false,true,9,fresh_nonempty_and_control_files_consistent,Sanitized run manifest dependency report status input-validation metrics markers analysis log and copied do-file,Raw Stata startup logs and validation details remain local-only and are not part of the success contract.
overall_cohort,outputs/stata/<run_id>/Overall Cohort chars.xlsx,Stata,xlsx,local_generated,false,true,1,semantic_workbook_comparison,Overall cohort descriptive table,
definition_overlap_heatmaps,outputs/stata/<run_id>/Definition Overlap HeatPlot*.png,Stata,png,local_generated,false,true,4,decoded_pixel_comparison,"Relative sensitivity, kappa, raw agreement, and PABAK heatmaps.",
testing_strategy_kappa,"outputs/stata/<run_id>/{ABG-only,VBG-only,ABG-VBG} Definition Overlap HeatPlot - Kappa.png",Stata,png,local_generated,false,true,3,decoded_pixel_comparison,Kappa heatmaps for blood-gas testing subsets,The ABG-only and VBG-only labeling semantics are unresolved.
definition_summary,outputs/stata/<run_id>/Def<i>-Summary.xlsx,Stata,xlsx,local_generated,false,true,10,semantic_workbook_comparison,Definition-specific descriptive summary,One workbook per definition.
workup_summary,outputs/stata/<run_id>/Case Definition by Workup.xlsx,Stata,xlsx,local_generated,false,true,1,semantic_workbook_comparison,Definition prevalence by blood-gas workup,
location_summary,outputs/stata/<run_id>/Location by Case Definitions.xlsx,Stata,xlsx,local_generated,false,true,1,semantic_workbook_comparison,Definition prevalence by region,
location_kappa,outputs/stata/<run_id>/Loc<i>-Definition Overlap HeatPlot - Kappa.png,Stata,png,local_generated,false,true,4,decoded_pixel_comparison,Region-specific kappa heatmap,One image per region.
encounter_spline_intermediates,"outputs/stata/<run_id>/{Unadjusted Prob of Dx Hypercapnia Splines .png,graph-temp/{All,Emer,Inp}_Encounters_Prob_Dx_spline.gph}",Stata,png/gph,local_generated,false,true,4,decoded_pixels_plus_nonempty_graph_presence,Overall and setting-specific spline intermediates,Three PNG exports currently share one replace-mode filename.
paco2_spline,outputs/stata/<run_id>/Figure 2 Prob Hypercap ICD.png,Stata,png,local_generated,false,true,1,decoded_pixel_comparison,Combined diagnosis-code probability spline by PaCO2,Published figure numbering is unresolved.
location_splines,"outputs/stata/<run_id>/{South,Northeast,Midwest,West,Location}*Prob Hypercap ICD*.png; outputs/stata/<run_id>/graph-temp/Loc*_Encounters_Prob_Dx_spline.gph",Stata,png/gph,local_generated,false,true,9,decoded_pixels_plus_nonempty_graph_presence,Regional spline intermediates and combined figure,Published figure numbering is unresolved.
consort_diagram,outputs/figures/consort_diagram.tiff,Notebook,tiff,local_generated,false,false,1,nonempty_file,CONSORT-style case-definition flow diagram,Uses fixed published aggregate counts and is not part of Stata-run success.
